artist.hotttnesss,artist.name,duration,location,release.name,song.hotttnesss,tempo,terms,title,year
0.311059225,[kaleidoskop],320.522,Not available,...wir geh'n schon mal vor,,144.463,hip hop,deine liebe,0
0.389100776,Lesley Gore,140.2771,"New York, NY",'60s Pop Number 1's,,129.161,brill building pop,It's My Party,1963
0.332837725,Special Duties,122.56608,Not available,'77 In '97,0,128.822,oi,Punk Rocker '97,0
0.332837725,Special Duties,162.87302,Not available,'77 In '97,0,135.386,oi,I Am The Curse (Duties Demo),0
0.340915136,The Panic Channel,227.99628,Not available,(ONe),0.531722098,147.975,post-grunge,Awake,2006
0.340915136,The Panic Channel,153.25995,Not available,(ONe),0.511424326,143.224,post-grunge,Said You'd Be,2006
0.566622888,Fall Out Boy,189.80526,"Wilmette, IL",**** Live In Phoenix,,114.535,pop punk,Dance_ Dance,2008
0.455915629,Juliette & The Licks,241.37098,Not available,&Like A Bolt Of Lightning,0.60676353,156.523,post-grunge,Shelter Your Needs,2005
0.435468899,J.J. Cale,202.94485,"Oklahoma City, OK",#8,,133.398,blues-rock,Trouble In The City,1983
0.435468899,J.J. Cale,160.62649,"Oklahoma City, OK",#8,0.304169503,136.273,blues-rock,Losers,1983
0.437050558,The Mad Capsule Markets,244.55791,JP,020120 (Live),,122.732,hard rock,Good Day (Live),0
0.360829937,Emilio,165.22404,"SAN ANTONIO, Texas",10 Aniversario,,205.333,tejano,Mira Nina,0
0.360829937,Emilio,165.27628,"SAN ANTONIO, Texas",10 Aniversario,0,198.118,tejano,Hoy,0
0.386237683,Jay PA(c)rez,201.32526,Not available,10 de ColecciA3n,0,201.21,tejano,Toda Mi Vida,0
0.332930951,Orquesta AragA3n,173.68771,Cuba,10 De ColecciA3n,,92.606,charanga,Ven Morena,2003
0.347217816,Yolandita Monge,183.90159,Not available,10 De ColecciA3n,,100.68,reggaeton,PA!ginas del Alma,0
0,Paul Overman,564.29669,Not available,10 Minutes to Relax: Peaceful Retreat,0,90.582,meditation,Morning Rain Music by Jorge Alfano,0
0.39605043,Billie Ray Martin Feat. Ann Peebles,466.96444,"Hamburg, Germany",10 Years Anniversary Remix Compilation,,126.006,progressive house,18 Carat Garbage,0
0.390361787,Eyehategod,247.01342,Not available,10 Years Of Abuse And Still Broke,,97.916,doom metal,Left To Starve,1992
0.355625946,Harald Kloser / Thomas Wander / Thomas Schobel,163.21261,Not available,10_000 BC,0.460541281,119.787,big beat,Opening,0
0.402627793,Donna Fargo,149.62893,"Mount Airy, NC",100 #1 Country Hits,,202.358,classic country,Superman,1999
0.364384925,Julien Clerc,174.15791,FR,100 Chansons,0.379523324,115.756,chanson,Le Coeur Du Volcan,0
0.424108277,Happy Mondays,389.0673,"Manchester, England",100 Chillout Classics,0.327736683,196.096,alternative dance,Hallelujah [Club Mix - Remastered version],0
0.438168226,Johnny Horton,148.79302,"Los Angeles, CA",100 Country Classics,,179.311,country rock,The Battle Of New Orleans,1959
0.310731085,Ned Miller,128.26077,"Raines, UT",100 Country Classics,,99.312,country rock,From A Jack To A King,1963
0.418216518,The Shangri-Las,136.01914,"Queens, NY",100 Love Evergreen,,65.771,doo-wop,Remember (Walkin' In the Sand),1964
0.434930158,Ini Kamoze,242.59873,Not available,100 R&B Classics - The Anthems,,100.339,dancehall,Here Comes The Hotstepper,1995
0.45222994,Messy Marv,199.26159,California - SF,100 Racks,,165.976,gangster rap,I hit You Wit The Pepper,0
0.385285643,Sofi Marinova,190.17098,Not available,100 Unforgettable Bulgarian Pop Songs By Songwriter Jivko Kolev - Part I,0,145.924,pop folk,Studen plamuk,0
0.484876719,Fun Lovin' Criminals,205.66159,Not available,100% Colombian,0.232940848,94.082,blues-rock,Love Unlimited (Explicit),1998
0.409134869,Johnny Osbourne,216.65914,Not available,100% Dynamite,,105.261,roots reggae,We Need Love,1979
0.43929204,Olga TaA+-A3n,279.53587,Not available,100% Merengue,0.683770112,129.962,merengue,Como Olvidar (Merengue VersiA3n),2006
0.424791236,John Holt,225.07057,"Kingston, Jamaica",1000 Volts Of Holt,0.340922756,165.183,lovers rock,I'll Take A Melody,0
0.30571906,La Portuaria,250.43546,Not available,10000 Km,,96.001,disco,10000 Km,0
0.384730303,Emit,197.56363,Oklahoma,100m001,0,136.871,ambient black metal,Gum,0
0.424271114,Five Blind Boys of Alabama,131.81342,"Talladega, AL",101 Great Black Gospel_ Vol. 4,,93.417,soul blues,I've Got a Home,2008
0.535763158,Hot Chip,202.10893,London,101 Running Songs,,128.988,dance rock,Ready For The Floor (Radio Edit),2008
0.430321318,Scott Weiland,321.01832,"Santa Cruz, CA",12 Bar Blues,0.49271364,112.68,post-grunge,The Date ( LP Version ),1998
0.325831241,Daryl Coley,321.01832,"San Francisco, CA",12 Best Loved Songs,0.265861049,124.709,ccm,He That Dwelleth (Psalm 91) (In My Dreams Album Version),0
0.29911258,Los Solitarios,168.12363,Not available,12 Grandes exitos Vol. 1,0.23571423,94.994,screamo,Verdad Amarga,0
0.29911258,Los Solitarios,179.56526,Not available,12 Grandes exitos Vol. 1,0,129.493,screamo,Amor que terminA3,0
0.407821565,Los AutA(c)nticos Decadentes,205.37424,Not available,12 Vivos,0.48456253,133.821,cumbia,Que Vas A Hacer Conmigo,2004
0.407821565,Los AutA(c)nticos Decadentes,205.06077,Not available,12 Vivos,,91.699,cumbia,El Gran SeA+-or,1997
0.776037656,The Rolling Stones,172.72118,"London, England",12 x 5,,107.455,blues,Time Is On My Side,1964
0.776037656,The Rolling Stones,183.17016,"London, England",12 x 5,0.633254322,185.333,blues,Around And Around,1964
0.425728131,Les Hurlements D'leo,182.04689,Not available,13 ans de caravaning,,104.307,folk rock,L'accordA(c)oniste,1999
0.425728131,Les Hurlements D'leo,334.13179,Not available,13 ans de caravaning,,163.317,folk rock,10 $ Bill,0
0.35471662,Jean Fauque,219.01016,Not available,13 Aurores,,112.015,los angeles,Off The Record,0
0.384146444,Nazz,220.89098,Not available,13th And Pine,,119.691,freakbeat,How Can You Call That Beautiful (Stewkey Vocal),0
0.384146444,Nazz,151.562,Not available,13th And Pine,0.334706549,167.829,freakbeat,It Must Be Everywhere (Complete Version),0
0.344171478,Les Sexareenos,98.89914,Not available,14 Frenzied Shakers,0.561018716,182.57,garage rock,Ruby D.,2001
0,Angela Dimitriou,177.3971,Not available,14 Megala Tragoudia - Angela Dimitriou,,132.076,pop folk,Fotia Sta Savvatovrada (Live),0
0,Angela Dimitriou,215.562,Not available,14 Megala Tragoudia - Angela Dimitriou,,109.695,pop folk,Mi Mas Agapas,0
0,Angela Dimitriou,163.29098,Not available,14 Megala Tragoudia - Angela Dimitriou,,90.063,pop folk,Edo Pou Ta Leme,0
0.242783189,Jyve V,191.92118,Not available,15 De Coleccion,,132.082,latin,Maria Morena,0
0.358681693,Mazz,251.61098,Not available,15 Exitos,,106.847,tejano,MA!s Y MA!s,0
0.31579568,Rocio Jurado,238.05342,Not available,15 Exitos Originales Con Rocio Jurado,,159.026,bulerias,Mi Amante Amigo,0
0.313569343,Flor Silvestre,134.81751,Not available,15 Exitos Vol. 2 Flor Silvestre,,106.049,ranchera,Caricia Y Herida,0
0.313569343,Flor Silvestre,207.75138,Not available,15 Exitos Vol. 2 Flor Silvestre,,130.818,ranchera,Aquel Amor,0
0.410841587,Chango Spasiuk,131.57832,Argentina,15 Grandes Axitos,0,194.156,polka,De Bombacha Y Alpargatas,0
0.39840752,Leonardo Favio,229.25016,Not available,15 Grandes Exitos,,102.392,singer-songwriter,Sera Cuestion De Conversar,0
0.313569343,Flor Silvestre,161.93261,Not available,15 Grandes Exitos-Flor Silvestre,,98.713,ranchera,Llorando Por Amor,0
0.451570771,Bill Engvall,307.09506,"Galveston, TX",15Adeg Off Cool,,126.341,comedy,15Ao Off Cool (Album Version),0
0.401098465,Los Cisnes,182.72608,"Teoc, MS",16 Exitos De Los Mejores Trios Mexicanos,,101.308,delta blues,Orgullo,0
0.386292984,Ray Boltz & Steve Millikan,245.62893,"MUNCIE, Indiana",16 Great Christmas Classics Volume 3,,133.318,ccm,Perfect Tree,0
0.36134021,Percy Faith & His Orchestra,195.02975,Not available,16 Most Requested Songs Of The 1950s. Volume Two,,91.765,orchestra,Song From Moulin Rouge,0
0.376664106,Rolfe Kent,48.69179,Not available,17 Again,,69.986,soundtrack,Mark Practices,0
0.605507136,Silverstein,181.81179,"Burlington, Ontario, Canada",18 CANDLES: THE EARLY YEARS,,200.375,post-hardcore,FRIENDS IN FALL RIVER  (LP Version),2006
0.605507136,Silverstein,256.46975,"Burlington, Ontario, Canada",18 CANDLES: THE EARLY YEARS,0.360370583,132.962,post-hardcore,BLEEDS NO MORE (Live Version),2006
0.605507136,Silverstein,242.83383,"Burlington, Ontario, Canada",18 CANDLES: THE EARLY YEARS,0.594923657,202.068,post-hardcore,MY CONSOLATION (LP Version),2006
0.605507136,Silverstein,214.04689,"Burlington, Ontario, Canada",18 CANDLES: THE EARLY YEARS,0.592932119,150.13,post-hardcore,MY HERIONE (Acoustic Version),2006
0.513065655,Orquesta Romantica de La Habana,200.75057,"Amityville, NY",18 Exitos,,137.835,hip hop,Serenata,0
0.458595403,Naughty By Nature,216.60689,"East Orange, NJ",19 Naughty III,0.439202489,199.652,gangster rap,The Hood Comes First (LP Version),1993
0.389553388,Bob Crosby,171.85914,Not available,1937/40 Broadcasts,0.265861049,100.317,chanson,Wolverine Blues (Slight Flaw In Master) (1940 Blackhawk Restaurant Chicago),0
0.291539727,Jimmy Wakely,151.84934,"Mineola, AR",1942-1952 Jimmy Wakely,,86.186,classic country,Broken-Down Merry-Go-Round,0
0.291539727,Jimmy Wakely,139.04934,"Mineola, AR",1942-1952 Jimmy Wakely,,187.44,classic country,Standing Outside of Heaven,0
0.347134883,Shelly Manne,255.39873,"New York, NY",1954-56 Combinations,,121.871,hard bop,Get Me To The Church On Time,1996
0.497050959,The Stooges,328.9073,"Ann Arbor, MI",1970: The Complete Fun House Sessions,,132.595,experimental rock,T.V. Eye (Take 3),1999
0.497050959,The Stooges,43.91138,"Ann Arbor, MI",1970: The Complete Fun House Sessions,,100.353,experimental rock,Studio Dialogue (#19),0
0.497050959,The Stooges,27.0624,"Ann Arbor, MI",1970: The Complete Fun House Sessions,0.450762242,26.663,experimental rock,Lost In The Future (False Start -#1),0
0.497050959,The Stooges,16.92689,"Ann Arbor, MI",1970: The Complete Fun House Sessions,,67.03,experimental rock,Studio Dialogue (#26),0
0.497050959,The Stooges,211.35628,"Ann Arbor, MI",1970: The Complete Fun House Sessions,,126.641,experimental rock,Down On The Street (False Start Take 2),0
0.312432868,John Wayne,192.70485,Not available,1985 Sleng Teng Extravaganza,,160.663,dancehall,Call The Police,0
0.399431544,Aleks Syntek,232.07138,"Merida, Mexico",1989-2009,,120.309,merengue,Otra Parte De Mi (1997 Digital Remaster),0
0.361034556,Smut Peddlers,87.11791,Not available,1993-1994 The Demos,,116.837,dirty rap,Chicken Strips (THE DEMOS version),0
0.437050558,The Mad Capsule Markets,161.01832,JP,1997-2004 (Hits),,170.94,hard rock,Loud Up!!,2004
0.369535728,Natural Elements,246.67383,Not available,1999: 10 Year Anniversary,0,107.927,hip hop,More Than Vocals (MTV),0
0.369535728,Natural Elements,220.83873,Not available,1999: 10 Year Anniversary,0,76.76,hip hop,NE Thang,0
0.30285542,DJ Nasty,221.09995,Not available,1st. Round Darft Pick,0,149.984,bass music,Child Support,0
0.366713432,Alceu ValenASSa,205.87057,Not available,2 Em 1,0.479116089,144.162,brazilian pop music,Sete Desejos,1992
0.348350022,Nana Caymmi,174.54975,Not available,2 Em 1 (Dois Em Um),0.265861049,115.781,brazilian pop music,Nossa DanASSa,0
0.348350022,Nana Caymmi,233.24689,Not available,2 Em 1 (Dois Em Um),0.405115722,99.133,brazilian pop music,Palavras,0
0.345734866,Ann Lee,217.62567,United States,2 People,,170.373,europop,2 People,0
0.361587942,Alejandro Lerner,199.54893,Not available,20 AA+-os,,140.186,pop rock,Nena NeurA3tica,0
0.361587942,Alejandro Lerner,153.36444,Not available,20 AA+-os,0.427446572,120.051,pop rock,Campeones De La Vida,0
0.361587942,Alejandro Lerner,267.31057,Not available,20 AA+-os,0.579728749,128.48,pop rock,Todo A PulmA3n,1998
0.399431544,Aleks Syntek,223.97342,"Merida, Mexico",20 AA+-os En Vivo,,127.969,merengue,In My Arms (Live Auditorio Nacional 08),0
0.336219533,Andre Popp,220.94322,Not available,20 Axitos Instrumentales De Oro Vol. 2,,103.77,chanson,Fernando,0
0.344721111,Eddy Raven,201.63873,"Lafayette, LA",20 Favorites,,105.966,zydeco,I Know That Car,0
0.344721111,Eddy Raven,215.40526,"Lafayette, LA",20 Favorites,0,158.832,zydeco,Like A Hurricane,0
0.344721111,Eddy Raven,223.26812,"Lafayette, LA",20 Favorites,0,119.657,zydeco,Angel Fire,0
0.344721111,Eddy Raven,202.52689,"Lafayette, LA",20 Favorites,0.241767916,129.266,zydeco,In A Letter To You (Digitally Remastered 98),0
0.348462172,VinAcius de Moraes,243.53914,Not available,20 Grandes Sucessos De Vinicius De Moreas,,62.776,brazilian pop music,Minha Namorada,1965
0.297180944,Billy Walker,133.56363,"Ralls, TX",20 Greatest Hits,,78.902,honky tonk,Thank You For Calling,0
0.257496328,Carl Belew,131.05587,"Salina, OK",20 Greatest Hits,,121.563,rockabilly,Love's Been Good To Me,0
0.383357051,Dan Hicks,159.9473,Little Rock AK,20 Hot Licks Hits,0,72.357,country rock,He Don't Care (He's Stoned),0
0.339611732,Varios Artistas de Rumba,171.88526,Not available,20 Mejores Rumbas Vol.1,,113.862,rumba,Don Toribio,0
0.294161882,Alain Morisod,241.65832,Not available,20 Melodies pour rever_ Volume 2,0,134.254,chill-out,L'Amour en Heritage,0
0.294161882,Alain Morisod,245.44608,Not available,20 Melodies pour rever_ Volume 3,0,117.993,chill-out,Besame Mucho,0
0.384611084,Billie Jo Spears,133.32853,"Beaumont, TX",20 Of Her Best,0,160.839,classic country,It Makes No Difference Now,1992
0.384611084,Billie Jo Spears,124.9171,"Beaumont, TX",20 Of Her Best,,64.996,classic country,Danny,0
0.377472507,Los Iracundos,149.36771,Not available,20 Secretos De Amor - Los Iracundos,,125.717,latin pop,La Bambola,0
0.360163491,Palito Ortega,134.3473,Not available,20 Secretos de Amor - Palito Ortega,0.37188085,103.755,latin pop,Te Fuiste En Abril,0
0.207285953,Tulipunaruusut,224.46975,Not available,20 Suosikkia  / Romantiikkaa ruusutarhassa,,116.298,humppa,Hiekkaa (polvere),0
0.348215008,Frederik,179.3824,Not available,20 Suosikkia  / Se jokin sinulla on,,103.063,tech house,Hur hur murmioon,0
0.331642439,Erkki Junkkarinen,195.65669,Not available,20 Suosikkia  / Siks' oon mA$? suruinen,,121.649,humppa,Siks oon mA$? suruinen,0
0.343884049,Markus,189.36118,Kentucky,20 Suosikkia / Jos vielA$? oot vapaa,,97.103,neue deutsche welle,Vankina vapauden,0
0.207285953,Tulipunaruusut,209.34485,Not available,20 Suosikkia / Karjalan Marjaana,,118.577,humppa,Ilta Oulunjoella,0
0.343497542,Fredi,228.362,Not available,20 Suosikkia / Kun rakkaus voittaa,,115.082,ballad,Liian vA$?hA$?n aikaa,0
0.397640637,Fredi,243.722,Not available,20 Suosikkia / Laula kanssain,0.266955186,121.117,ballad,Laula kanssain,1977
0.35065113,Fredi,181.36771,Not available,20 Suosikkia / Laula kanssain,,166.555,ballad,Tule illoin,0
0.368550448,Hector,223.13751,CANADA - Ontario,20 Suosikkia / Lumi teki enkelin eteiseen,,120.833,hard house,Sudenkorento -Life On Mars-,0
0.42251494,The Avengers,122.72281,California - SF,20 Suosikkia / Rautalankaklassikot / Kolme kitaraa,,192.688,rock,Juoksuhauta-twist (ElA$?mA$? juoksuhaudoissa),0
0.42251494,The Avengers,121.96526,California - SF,20 Suosikkia / Rautalankaklassikot / Muurari,,185.255,rock,LeskiA$?idin tyttA$?ret,0
0.31781096,Solistiyhtye Suomi,134.08608,Not available,20 Suosikkia / Rilluttele yAP,,133.699,german pop,TerA$?slintu,0
0.31781096,Solistiyhtye Suomi,148.71465,Not available,20 Suosikkia / Rilluttele yAP,,192.297,german pop,Rumpu lyAP,0
0,Rauni Pekkala,162.14159,Not available,20 suosikkia / ToiveiskelmiA$? 3 / Virran viemA$?A$?,,93.657,finish,Miesten tA$?hden,1994
0.331642439,Erkki Junkkarinen,165.53751,Not available,20 Suosikkia / Tulisuudelma,,101.272,humppa,Rakkautta KAPAPpenhaminassa - FAPrA$?lskad i KAPpenhamn -,0
0,Teijo Joutsela and Humppa-Veikot,159.63383,Not available,20 suosikkia / Vanhan kartanon kehrA$?A$?vA$? rukki,,120.012,humppa,KesA$?ilta Saimaalla,0
0.30474366,Orquesta Sublime,168.30649,Cuba,20 Superhits Charangueros,,101.345,salsa,El divertido,0
0.430942043,David Arkenstone,205.11302,Tennessee,20 Years Of Narada Piano,0.270775999,73.162,celtic,First Kiss,0
0.457841156,Dilated Peoples Featuring Capleton,311.06567,"Los Angeles, California",20/20,0.540009277,158.327,turnablism,Firepower (The Tables Have to Turn) (Explicit) (Feat. Capleton),2006
0,Fixx_ The,276.4273,Not available,2005 International Barbershop Quartet Contest - First Round - Volume 5,,83.413,hip house,These Foolish Things,0
0.349161155,The Allies,213.13261,Washington,2006 International Barbershop Quartet Contest - First Round - Volume 3,,72.777,ccm,Bewitched_ Bothered & Bewildered,0
0.383845367,Bill Cosby,498.33751,"Philadelphia, PA",20th Century Masters: The Millennium Collection: Best Of Bill Cosby,0.375984302,70.535,comedy,Fat Albert's Car,1973
0.395273632,Roy Buchanan,329.66485,"Ozark, AR",20th Century Masters: The Millennium Collection: Best Of Roy Buchanan,,119.089,blues-rock,Hey Joe,1974
0.395273632,Roy Buchanan,365.71383,"Ozark, AR",20th Century Masters: The Millennium Collection: Best Of Roy Buchanan,,110.924,blues-rock,C.C. Ryder,0
0.47070039,Semisonic,258.92526,"Minneapolis, MN",20th Century Masters: The Millennium Collection: Best Of Semisonic,0.577469083,186.012,post-grunge,If I Run,1993
0.47070039,Semisonic,280.00608,"Minneapolis, MN",20th Century Masters: The Millennium Collection: Best Of Semisonic,0.775235363,99.059,post-grunge,Secret Smile,1998
0.479308459,The New York Dolls,245.68118,"New York, NY",20th Century Masters: The Millennium Collection: Best Of The New York Dolls,0.270775999,88.508,glam rock,Stranded In The Jungle,1974
0.610731463,Aerosmith,308.76689,"Boston, MA",20th Century Masters: The Millennium Collection: The Best Of Aerosmith,,105.804,blues-rock,Cryin',1993
0.426046392,Tha Alkaholiks,217.36444,"Los Angeles, CA",21 & Over,0.63543847,104.458,hip hop,Only When I'm Drunk,1993
0.440407444,Papoose,46.47138,"Bedford-Stuyvesant, NY",21 Gun Salute,0.392008772,95.147,hip hop,Intro,2006
0.535408379,Lily Allen Featuring Ours,189.20444,"London, England",22 (Vingt Deux),,130.939,ska,22 (Vingt Deux) (Feat. Ours),2009
0,Mar Azul,165.11955,Mexico,22 Cumbias Ardientes,0,147.003,charanga,Rancho Moreno,0
0.4642775,22-20s,317.46567,Not available,22-20s,0.681755339,133.325,blues-rock,Hold On,2004
0.301094091,Los Traileros Del Norte,201.03791,Not available,23 Aniversario,,111.944,mexico,El Bipper,0
0.352410127,The Refreshments,195.39546,Not available,24-7,0.370025075,191.436,post-grunge,My Girlfriend's Friend,0
0.352410127,The Refreshments,175.96036,Not available,24-7,0,193.584,post-grunge,Lana Lee,0
0.35469336,Sean Callery,212.84526,Not available,24: Redemption,0.427446572,121.153,soundtrack,Jack and Benton,2008
0.320520135,Quinteto Violado,391.00036,Not available,25 Anos NAPSo SAPSo 25 Dias,,139.806,brazilian pop music,Maria Betania,0
0.342626791,Red Foley,192.80934,"Blue Lick, KY",25 Country Memories,,38.443,country gospel,Old Shep,1936
0.376556981,Mary Black,283.61098,Ireland,25 Years/25 Songs,0.599710296,116.673,country rock,Katie,1987
0.376556981,Mary Black,310.20363,Ireland,25 Years/25 Songs,0.334706549,42.75,country rock,Sweet Love,0
0.33792075,Cristy Lane,142.70649,"Peoria, IL",27 Christmas Classics,,120.227,ccm,It Came Upon A Midnight Clear,0
0.257075915,2Fresh,461.24363,Not available,2Fresh - Get It Started,,85.322,boogaloo,Get It Started,0
0.296553691,Orthrelm,70.03383,Not available,2nd18/04,,164.216,experimental rock,Scelxenak,2002
0.544257506,Stevie Ray Vaughan And Double Trouble,281.05098,"Dallas, TX",3 CD Slipcase,,121.616,texas blues,Couldn't Stand The Weather,1985
0.497544085,Zbigniew Preisner,146.46812,Not available,3 Couleurs : Blanc,0.437036204,82.264,classic rock,Morning at the hotel,1994
0.497544085,Zbigniew Preisner,63.63383,Not available,3 Couleurs : Blanc,0.437036204,35.351,classic rock,The Court,1994
0.64298222,3 Doors Down,188.65587,"Escatawpa, MS",3 Doors Down,0.574693297,150.077,post-grunge,Who Are You,2008
0.238795251,3 of Hearts,224.07791,Not available,3 Of Hearts,,101.684,electro,Is It Love,2001
0.523699078,Eurythmics,305.10975,"London, England",3 Originals,,140.549,dance rock,Better To Have Lost In Love (Than Never To Have Loved),0
0.473700501,Vangelis,575.58159,"Volos, Greece",3 Originals,,149.423,progressive rock,3 + 3,1977
0.473700501,Vangelis,1280.88771,"Volos, Greece",3 Originals,0.655953232,88.341,progressive rock,Heaven And Hell (Part II),0
0.37130459,Corderoy & U4IC DJ'S,517.642,Not available,3 Spirit,,86.668,hard trance,3 Spirit,0
0.269212951,3 Way Funk,210.25914,California - SF,3 Way Funk,0,190.14,hyphy,Real Playaz,0
0.342703966,Nik & Jay,207.67302,Not available,3: Fresh-Fri-Fly,0.304169503,125.028,pop rap,Gir Dig Mer,0
0.3065186,Roy Drusky,163.36934,"Atlanta, GA",30 Country Classics,,88.201,country rock,Wasted Days And Wasted Nights,0
0.40249588,Humble Pie,469.44608,"Essex, England",30 Days In The Hole (Live & Dangerous),,132.598,blues-rock,30 Days In The Hole (Live),0
0.389765518,Gary Hobbs,228.49261,Not available,30 Del Recuerdo,0.30977464,104.12,tejano,SoA+-ando En Ti,0
0.264164499,Los BarA3n De Apodaca,213.7073,Not available,30 Exitos Insuperables,,199.046,mariachi,Ese Que Traes A Tu Lado,0
0.345045823,Dyango,197.642,Massachusetts,30 Grandes Exitos,,99.946,ballad,Todo Tiene Su Fin,0
0.418989675,Faron Young,159.79057,"Shreveport, LA",30 Of His Best,,141.772,honky tonk,It's Four In The Morning,1986
0.677087547,30 Seconds To Mars,245.02812,"Los Angeles, CA",30 Seconds To Mars,0.793613668,190.102,rock,The Mission,2002
0.677087547,30 Seconds To Mars,472.39791,"Los Angeles, CA",30 Seconds To Mars,0.81689746,121.518,rock,Year Zero,2002
0.397569595,2raumwohnung,357.85098,"Berlin, Germany",36 Grad Remixe,0.265861049,125.995,tech house,Ja (Hanno's Poppersmonstermix),2007
0.397569595,2raumwohnung,449.38404,"Berlin, Germany",36 Grad Remixe,,134.033,tech house,36 Grad (Paul van Dyk's Vandit Clubmix),0
0.270099983,Marcel Mouloudji,110.34077,Not available,"36 Grands SuccA""s",,77.5,chanson,Qui Donc A ChangA(c) ?,0
0.270099983,Marcel Mouloudji,129.77587,Not available,"36 Grands SuccA""s",,108.333,chanson,Madeleine,0
0.399042081,Gabriel Yared,194.82077,"Beirut, Lebanon",37Adeg2 Le Matin,0.407901717,89.871,latin jazz,Chile con carne,1986
0.314882184,20/20,302.36689,Not available,4 Day Tornado,0,101.229,power pop,It Goes On,0
0.230130794,Leon Lai,255.00689,Not available,4 in Love,,119.999,chinese music,Mei Tian Ai Ni Duo Yi Xie,0
0.230130794,Leon Lai,203.38893,Not available,4 in Love,,103.995,chinese music,Qing Yi Shi,0
0.532803542,Gwen Stefani,294.19057,Not available,4 In The Morning,,124.517,rock,4 In The Morning,2006
0.665576619,Madonna,339.35628,"Bay City, MI",4 Minutes - The Remixes,,104.821,dance pop,4 Minutes [Featuring Justin Timberlake and Timbaland] [Bob Sinclar Space Funk Remix],0
0.326430853,Gabinete Caligari,304.32608,Not available,4 Rosas Y Que Dios Reparta Suerte,0.266955186,109.051,pop rock,El Arte De Amar,1989
0.326430853,Gabinete Caligari,183.87546,Not available,4 Rosas Y Que Dios Reparta Suerte,0.299877488,74.884,pop rock,Caray!,0
0.382426584,Andreas Dorau,267.36281,Not available,40 Frauen / Im September,,118.975,tech house,Du Verstehst Mich Nicht,2005
0.385787615,Delroy Wilson,191.73832,"Kingston, Jamaica",40 Greatest Hits,0.495421502,142.066,rock steady,Who Cares,1969
0.311615545,Orlando Pops Orchestra,207.67302,Not available,50 Best Of Big Band,,80.188,orchestra,Strangers In The Night,0
0.314494837,London Theatre Orchestra,160.70485,Not available,50 Broadway Showstoppers,,75.768,ragtime,Maria ( From The Sound Of Music),0
0.314494837,London Theatre Orchestra,163.65669,Not available,50 Broadway Showstoppers,,74.531,ragtime,If Ever I Would Leave You,0
0.277789967,Gus Viseur,128.93995,Not available,50 Reasons To Love Paris,0.364612477,206.454,gypsy jazz,Le Bal Du P'tit Jardin,2005
